model_id,model_name,type,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro,test_auc
lr,Logistic Regression,manual,0.8910256410256411,0.8893847758081335,0.8868625185674204,0.8980978260869565,0.959069293478261
mlpc,MLPClassifier,manual,0.8589743589743589,0.8561126949522053,0.8534883720930233,0.8614130434782609,0.9273097826086957
rfc,Random Forest,manual,0.9230769230769231,0.9208791208791209,0.9191919191919191,0.9228940217391304,0.9731657608695652
hgbc,HistGradientBoosting,manual,0.9487179487179487,0.9467485919098823,0.9492107069320521,0.9446331521739131,0.9811480978260869
automl_gbc,AutoML GradientBoostingClassifier,automl,0.9358974358974359,0.9330816746739876,0.9385416666666666,0.9290081521739131,
